,Ward Code,Ward Name,District Code,District Name,Province/City Code,Province/City Name,Latitude,Longitude
0,26734,Phường Tân Định,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,792645","106,690645"
1,26737,Phường Đa Kao,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,789305","106,698753"
2,26740,Phường Bến Nghé,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,780322","106,704141"
3,26743,Phường Bến Thành,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,774806","106,495684"
4,26746,Phường Nguyễn Thái Bình,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,768872","106,701093"
5,26749,Phường Phạm Ngũ Lão,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,76756","106,691085"
6,26752,Phường Cầu Ông Lãnh,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,765505","106,696803"
7,26755,Phường Cô Giang,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,76218","106,693806"
8,26758,Phường Nguyễn Cư Trinh,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,763357","106,686526"
9,26761,Phường Cầu Kho,760,Quận 1,79,Thành phố Hồ Chí Minh,"10,757636","106,688833"
10,26764,Phường Thạnh Xuân,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,879982","106,671373"
11,26767,Phường Thạnh Lộc,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,875593","106,685116"
12,26770,Phường Hiệp Thành,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,881388","106,640694"
13,26773,Phường Thới An,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,877363","106,656125"
14,26776,Phường Tân Chánh Hiệp,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,864291","106,625764"
15,26779,Phường An Phú Đông,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,854697","106,696755"
16,26782,Phường Tân Thới Hiệp,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,861941","106,64169"
17,26785,Phường Trung Mỹ Tây,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,853755","106,616094"
18,26787,Phường Tân Hưng Thuận,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,838576","106,623355"
19,26788,Phường Đông Hưng Thuận,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,844111","106,631415"
20,26791,Phường Tân Thới Nhất,761,Quận 12,79,Thành phố Hồ Chí Minh,"10,828866","106,61594"
21,26794,Phường Linh Xuân,762,Quận Thủ Đức,79,Thành phố Hồ Chí Minh,"10,879976","106,772122"
