Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp,Tên Tiếng Anh,Latitude,Longitude
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Tân Định,26734,Phường,,"10,792645","106,690645"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Đa Kao,26737,Phường,,"10,789305","106,698753"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Bến Nghé,26740,Phường,,"10,780322","106,704141"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Bến Thành,26743,Phường,,"10,774806","106,495684"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Nguyễn Thái Bình,26746,Phường,,"10,768872","106,701093"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Phạm Ngũ Lão,26749,Phường,,"10,76756","106,691085"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Cầu Ông Lãnh,26752,Phường,,"10,765505","106,696803"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Cô Giang,26755,Phường,,"10,76218","106,693806"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Nguyễn Cư Trinh,26758,Phường,,"10,763357","106,686526"
Thành phố Hồ Chí Minh,79,Quận 1,760,Phường Cầu Kho,26761,Phường,,"10,757636","106,688833"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Thạnh Xuân,26764,Phường,,"10,879982","106,671373"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Thạnh Lộc,26767,Phường,,"10,875593","106,685116"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Hiệp Thành,26770,Phường,,"10,881388","106,640694"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Thới An,26773,Phường,,"10,877363","106,656125"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Tân Chánh Hiệp,26776,Phường,,"10,864291","106,625764"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường An Phú Đông,26779,Phường,,"10,854697","106,696755"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Tân Thới Hiệp,26782,Phường,,"10,861941","106,64169"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Trung Mỹ Tây,26785,Phường,,"10,853755","106,616094"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Tân Hưng Thuận,26787,Phường,,"10,838576","106,623355"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Đông Hưng Thuận,26788,Phường,,"10,844111","106,631415"
Thành phố Hồ Chí Minh,79,Quận 12,761,Phường Tân Thới Nhất,26791,Phường,,"10,828866","106,61594"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Linh Xuân,26794,Phường,,"10,879976","106,772122"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Bình Chiểu,26797,Phường,,"10,881508","106,730066"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Linh Trung,26800,Phường,,"10,862586","106,781265"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Tam Bình,26803,Phường,,"10,867151","106,735814"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Tam Phú,26806,Phường,,"10,859126","106,740527"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Hiệp Bình Phước,26809,Phường,,"10,851443","106,721758"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Hiệp Bình Chánh,26812,Phường,,"10,83493","106,729774"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Linh Chiểu,26815,Phường,,"10,853496","106,764889"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Linh Tây,26818,Phường,,"10,855394","106,753964"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Linh Đông,26821,Phường,,"10,848021","106,745833"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Bình Thọ,26824,Phường,,"10,845645","106,767105"
Thành phố Hồ Chí Minh,79,Quận Thủ Đức,762,Phường Trường Thọ,26827,Phường,,"10,833531","106,757956"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Long Bình,26830,Phường,,"10,864745","106,838903"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Long Thạnh Mỹ,26833,Phường,,"10,844472","106,823271"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Tân Phú,26836,Phường,,"10,856926","106,796478"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Hiệp Phú,26839,Phường,,"10,847699","106,778848"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Tăng Nhơn Phú A,26842,Phường,,"10,842302","106,795591"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Tăng Nhơn Phú B,26845,Phường,,"10,831485","106,786398"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Phước Long B,26848,Phường,,"10,817353","106,780984"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Phước Long A,26851,Phường,,"10,822542","106,764445"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Trường Thạnh,26854,Phường,,"10,812265","106,833138"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Long Phước,26857,Phường,,"10,807406","106,860105"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Long Trường,26860,Phường,,"10,79668","106,824925"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Phước Bình,26863,Phường,,"10,813484","106,772229"
Thành phố Hồ Chí Minh,79,Quận 9,763,Phường Phú Hữu,26866,Phường,,"10,79369","106,802158"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 15,26869,Phường,,"10,852623","106,671115"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 13,26872,Phường,,"10,855557","106,658158"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 17,26875,Phường,,"10,840215","106,676568"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 6,26876,Phường,,"10,843146","106,682822"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 16,26878,Phường,,"10,845992","106,665526"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 12,26881,Phường,,"10,836485","106,640589"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 14,26882,Phường,,"10,847488","106,641548"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 10,26884,Phường,,"10,833186","106,67155"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 05,26887,Phường,,"10,828368","106,69188"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 07,26890,Phường,,"10,828768","106,683457"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 04,26893,Phường,,"10,823177","106,685784"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 01,26896,Phường,,"10,816703","106,687403"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 9,26897,Phường,,"10,846447","106,651491"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 8,26898,Phường,,"10,840635","106,649566"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 11,26899,Phường,,"10,839879","106,661248"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 03,26902,Phường,,"10,818331","106,679488"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 13,26905,Phường,,"10,826766","106,704274"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 11,26908,Phường,,"10,81562","106,695716"
